a/b,fs/threshold,numInp,cnum,bias,svrc,svrp,trnq2,chkq2
a,0.8,87.0,2.0,2.791,2.1,0.05,0.529,0.436
a,0.8,87.0,2.0,2.74,2.2,0.05,0.529,0.439
b,0.8,87.0,2.0,2.699,2.3,0.05,0.529,0.437
b,0.8,87.0,2.0,2.66,2.4,0.05,0.53,0.435
a,0.85,284.0,2.0,3.448,2.1,0.05,0.691,0.483
b,0.85,284.0,2.0,3.469,2.2,0.05,0.694,0.483
b,0.85,284.0,2.0,3.491,2.3,0.05,0.696,0.482
b,0.85,284.0,2.0,3.513,2.4,0.05,0.699,0.481
a,0.9,860.0,2.0,2.382,2.1,0.05,0.814,0.565
b,0.9,860.0,2.0,2.38,2.2,0.05,0.815,0.565
b,0.9,860.0,2.0,2.378,2.3,0.05,0.817,0.565
b,0.9,860.0,2.0,2.376,2.4,0.05,0.818,0.564
